"lastUpdate","description","srcurl_web","srcurl_pdf","srcurl_pdf_archived","url_csv","url_json"
"2021-04-13","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18049.html","https://www.mhlw.go.jp/content/10906000/000768843.pdf","https://www.stopcovid19.jp/data/covid19japan/000768843.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-13.csv","https://www.stopcovid19.jp/data/covid19japan/000768843.pdf.json"
"2021-04-14","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18079.html","https://www.mhlw.go.jp/content/10906000/000769300.pdf","https://www.stopcovid19.jp/data/covid19japan/000769300.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-14.csv","https://www.stopcovid19.jp/data/covid19japan/000769300.pdf.json"
"2021-04-15","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18117.html","https://www.mhlw.go.jp/content/10906000/000769805.pdf","https://www.stopcovid19.jp/data/covid19japan/000769805.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-15.csv","https://www.stopcovid19.jp/data/covid19japan/000769805.pdf.json"
"2021-04-16","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18139.html","https://www.mhlw.go.jp/content/10906000/000770108.pdf","https://www.stopcovid19.jp/data/covid19japan/000770108.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-16.csv","https://www.stopcovid19.jp/data/covid19japan/000770108.pdf.json"
"2021-04-17","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18141.html","https://www.mhlw.go.jp/content/10906000/000770118.pdf","https://www.stopcovid19.jp/data/covid19japan/000770118.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-17.csv","https://www.stopcovid19.jp/data/covid19japan/000770118.pdf.json"
"2021-04-18","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18154.html","https://www.mhlw.go.jp/content/10906000/000770169.pdf","https://www.stopcovid19.jp/data/covid19japan/000770169.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-18.csv","https://www.stopcovid19.jp/data/covid19japan/000770169.pdf.json"
"2021-04-19","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18170.html","https://www.mhlw.go.jp/content/10906000/000770702.pdf","https://www.stopcovid19.jp/data/covid19japan/000770702.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-19.csv","https://www.stopcovid19.jp/data/covid19japan/000770702.pdf.json"
"2021-04-20","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18202.html","https://www.mhlw.go.jp/content/10906000/000771152.pdf","https://www.stopcovid19.jp/data/covid19japan/000771152.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-20.csv","https://www.stopcovid19.jp/data/covid19japan/000771152.pdf.json"
"2021-04-21","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18206.html","https://www.mhlw.go.jp/content/10906000/000771454.pdf","https://www.stopcovid19.jp/data/covid19japan/000771454.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-21.csv","https://www.stopcovid19.jp/data/covid19japan/000771454.pdf.json"
"2021-04-22","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18252.html","https://www.mhlw.go.jp/content/10906000/000772269.pdf","https://www.stopcovid19.jp/data/covid19japan/000772269.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-22.csv","https://www.stopcovid19.jp/data/covid19japan/000772269.pdf.json"
"2021-04-23","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18285.html","https://www.mhlw.go.jp/content/10906000/000772886.pdf","https://www.stopcovid19.jp/data/covid19japan/000772886.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-23.csv","https://www.stopcovid19.jp/data/covid19japan/000772886.pdf.json"
"2021-04-24","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18287.html","https://www.mhlw.go.jp/content/10906000/000772905.pdf","https://www.stopcovid19.jp/data/covid19japan/000772905.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-24.csv","https://www.stopcovid19.jp/data/covid19japan/000772905.pdf.json"
"2021-04-25","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18293.html","https://www.mhlw.go.jp/content/10906000/000772972.pdf","https://www.stopcovid19.jp/data/covid19japan/000772972.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-25.csv","https://www.stopcovid19.jp/data/covid19japan/000772972.pdf.json"
"2021-04-26","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18329.html","https://www.mhlw.go.jp/content/10906000/000773745.pdf","https://www.stopcovid19.jp/data/covid19japan/000773745.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-26.csv","https://www.stopcovid19.jp/data/covid19japan/000773745.pdf.json"
"2021-04-27","各都道府県の検査陽性者の状況(空港検疫、チャーター便案件を除く国内事例)","https://www.mhlw.go.jp/stf/newpage_18360.html","https://www.mhlw.go.jp/content/10906000/000774597.pdf","https://www.stopcovid19.jp/data/covid19japan/000774597.pdf","https://www.stopcovid19.jp/data/covid19japan/2021-04-27.csv","https://www.stopcovid19.jp/data/covid19japan/000774597.pdf.json"
