japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji,__index_level_0__
JP-35,YAMAGUCHI,2021-11-12 00:00:00 UTC,5747.740234375,5747.138671875,5856.1806640625,93.289779663085938,93.278511047363281,98.081352233886719,16.080144882202148,16.072811126708984,41.169380187988281,5636.81396484375,5636.23388671875,5708.21484375,,,,,2021-11-04 00:00:00 UTC,0.0267486572265625,0.19775390625,,,山口県,1939
JP-35,YAMAGUCHI,2021-11-13 00:00:00 UTC,5747.95068359375,5747.30419921875,5862.39208984375,93.305084228515625,93.292961120605469,98.460334777832031,14.692465782165527,14.685261726379395,39.349239349365234,5638.38720703125,5637.76318359375,5715.2607421875,,,,,2021-11-04 00:00:00 UTC,0.0153045654296875,0.21044921875,,,山口県,1940
JP-35,YAMAGUCHI,2021-11-14 00:00:00 UTC,5748.0625,5747.37646484375,5866.48876953125,93.329063415527344,93.316169738769531,98.806549072265625,13.320740699768066,13.313804626464844,37.094234466552734,5639.9423828125,5639.27880859375,5721.36279296875,,,,,2021-11-04 00:00:00 UTC,0.02397918701171875,0.11181640625,,,山口県,1941
JP-35,YAMAGUCHI,2021-11-15 00:00:00 UTC,5748.12646484375,5747.40380859375,5869.72265625,93.351333618164062,93.337753295898438,99.121475219726562,12.076330184936523,12.069709777832031,34.784576416015625,5641.361328125,5640.6611328125,5727.03857421875,,,,,2021-11-04 00:00:00 UTC,0.02227020263671875,0.06396484375,,,山口県,1942
JP-35,YAMAGUCHI,2021-11-16 00:00:00 UTC,5748.255859375,5747.50048828125,5872.0673828125,93.372787475585938,93.35858154296875,99.407051086425781,11.1162748336792,11.109906196594238,32.975959777832031,5642.67333984375,5641.94091796875,5732.22314453125,,,,,2021-11-04 00:00:00 UTC,0.021453857421875,0.12939453125,,,山口県,1943
JP-35,YAMAGUCHI,2021-11-17 00:00:00 UTC,5748.3955078125,5747.61181640625,5873.55859375,93.3968734741211,93.382118225097656,99.660247802734375,10.208152770996094,10.202083587646484,31.079017639160156,5643.8779296875,5643.11669921875,5736.37744140625,,,,,2021-11-04 00:00:00 UTC,0.02408599853515625,0.1396484375,,,山口県,1944
JP-35,YAMAGUCHI,2021-11-18 00:00:00 UTC,5748.4853515625,5747.67529296875,5874.43896484375,93.41461181640625,93.399368286132812,99.874137878417969,9.266871452331543,9.2611885070800781,28.870559692382812,5644.955078125,5644.16796875,5739.5224609375,,,,,2021-11-04 00:00:00 UTC,0.01773834228515625,0.08984375,,,山口県,1945
JP-35,YAMAGUCHI,2021-11-19 00:00:00 UTC,5748.55517578125,5747.7216796875,5875.224609375,93.4286880493164,93.413002014160156,100.06487274169922,8.4554080963134766,8.4500789642333984,26.88226318359375,5645.87646484375,5645.06591796875,5742.34619140625,,,,,2021-11-04 00:00:00 UTC,0.01407623291015625,0.06982421875,,,山口県,1946
JP-35,YAMAGUCHI,2021-11-20 00:00:00 UTC,5748.63525390625,5747.77978515625,5875.90869140625,93.436653137207031,93.420570373535156,100.22969818115234,7.7239136695861816,7.718928337097168,25.001359939575195,5646.7021484375,5645.8701171875,5744.77685546875,,,,,2021-11-04 00:00:00 UTC,0.007965087890625,0.080078125,,,山口県,1947
JP-35,YAMAGUCHI,2021-11-21 00:00:00 UTC,5748.68115234375,5747.806640625,5875.94140625,93.4490737915039,93.4326400756836,100.38286590576172,7.0007295608520508,6.9961156845092773,23.023517608642578,5647.51513671875,5646.66357421875,5746.9501953125,,,,,2021-11-04 00:00:00 UTC,0.012420654296875,0.0458984375,,,山口県,1948
JP-35,YAMAGUCHI,2021-11-22 00:00:00 UTC,5748.70947265625,5747.818359375,5875.48876953125,93.460586547851562,93.443832397460938,100.51697540283203,6.3446669578552246,6.3404102325439453,21.163740158081055,5648.25537109375,5647.38671875,5748.65576171875,,,,,2021-11-04 00:00:00 UTC,0.01151275634765625,0.0283203125,,,山口県,1949
JP-35,YAMAGUCHI,2021-11-23 00:00:00 UTC,5748.771484375,5747.86474609375,5874.650390625,93.471664428710938,93.454635620117188,100.63593292236328,5.8305320739746094,5.8265585899353027,19.696002960205078,5648.939453125,5648.05517578125,5750.0439453125,,,,,2021-11-04 00:00:00 UTC,0.011077880859375,0.06201171875,,,山口県,1950
JP-35,YAMAGUCHI,2021-11-24 00:00:00 UTC,5748.84375,5747.9228515625,5873.99267578125,93.484130859375,93.466850280761719,100.74602508544922,5.3464789390563965,5.3427844047546387,18.264797210693359,5649.5673828125,5648.6689453125,5751.33544921875,,,,,2021-11-04 00:00:00 UTC,0.0124664306640625,0.072265625,,,山口県,1951
JP-35,YAMAGUCHI,2021-11-25 00:00:00 UTC,5748.892578125,5747.9599609375,5873.58935546875,93.493293762207031,93.475784301757812,100.84308624267578,4.8516025543212891,4.848207950592041,16.740762710571289,5650.12841796875,5649.2177734375,5752.52783203125,,,,,2021-11-04 00:00:00 UTC,0.00916290283203125,0.048828125,,,山口県,1952
JP-35,YAMAGUCHI,2021-11-26 00:00:00 UTC,5748.93408203125,5747.99072265625,5874.03076171875,93.500579833984375,93.482856750488281,100.94284820556641,4.42578649520874,4.4226522445678711,15.403997421264648,5650.60888671875,5649.68701171875,5754.34033203125,,,,,2021-11-04 00:00:00 UTC,0.00728607177734375,0.04150390625,,,山口県,1953
JP-35,YAMAGUCHI,2021-11-27 00:00:00 UTC,5748.98388671875,5748.02978515625,5875.333984375,93.504692077636719,93.486763000488281,101.04399108886719,4.0425686836242676,4.0396714210510254,14.1752347946167,5651.0390625,5650.10693359375,5756.75341796875,,,,,2021-11-04 00:00:00 UTC,0.00411224365234375,0.0498046875,,,山口県,1954
JP-35,YAMAGUCHI,2021-11-28 00:00:00 UTC,5749.0146484375,5748.05126953125,5875.9833984375,93.51116943359375,93.493057250976562,101.1337890625,3.6640219688415527,3.6613693237304688,12.934572219848633,5651.46435546875,5650.52294921875,5758.7158203125,,,,,2021-11-04 00:00:00 UTC,0.00647735595703125,0.03076171875,,,山口県,1955
JP-35,YAMAGUCHI,2021-11-29 00:00:00 UTC,5749.0341796875,5748.0634765625,5877.0703125,93.5171890258789,93.498908996582031,101.22530364990234,3.3207948207855225,3.3183667659759521,11.791236877441406,5651.8515625,5650.90234375,5761.095703125,,,,,2021-11-04 00:00:00 UTC,0.00601959228515625,0.01953125,,,山口県,1956
JP-35,YAMAGUCHI,2021-11-30 00:00:00 UTC,5749.0791015625,5748.10107421875,5878.21337890625,93.522994995117188,93.504554748535156,101.31192016601562,3.0544724464416504,3.0522186756134033,10.90137767791748,5652.21044921875,5651.25439453125,5763.4853515625,,,,,2021-11-04 00:00:00 UTC,0.00580596923828125,0.044921875,,,山口県,1957
JP-35,YAMAGUCHI,2021-12-01 00:00:00 UTC,5749.13330078125,5748.14794921875,5879.580078125,93.5295639038086,93.510971069335938,101.39450073242188,2.8059155941009521,2.8038275241851807,10.059889793395996,5652.541015625,5651.578125,5765.8994140625,,,,,2021-11-04 00:00:00 UTC,0.00656890869140625,0.05419921875,,,山口県,1958
JP-35,YAMAGUCHI,2021-12-02 00:00:00 UTC,5749.17041015625,5748.1806640625,5881.21435546875,93.5344467163086,93.515716552734375,101.4720458984375,2.5483107566833496,2.5463991165161133,9.1728954315185547,5652.83740234375,5651.869140625,5768.38525390625,,,,,2021-11-04 00:00:00 UTC,0.0048828125,0.037109375,,,山口県,1959
